苹果 香蕉
墨鱼 乌贼
螃蟹 大闸蟹
龙虾 大龙虾
对虾 明虾
基围虾 沙虾
蛤蜊 花甲
扇贝 干贝
牡蛎 生蚝
田螺 螺蛳
蜗牛 螺
蚌 蛤蜊
蚬 蜊仔
蝗虫 蚂蚱
蚕 蚕虫
蜂 蜜蜂
蝶 蝴蝶
蛾 飞蛾
蝉 知了
螳螂 刀螂
蟋蟀 蛐蛐
萤火虫 夜光虫
蜻蜓 蜻蛉
蜘蛛 蛛蛛
蝎子 毒蝎
蜈蚣 百足
蚯蚓 地龙
蛇 长虫
蜥蜴 四脚蛇
壁虎 守宫
鳄鱼 湾鳄
龟 乌龟
鳖 甲鱼
蛙 田鸡
蟾蜍 癞蛤蟆
蝌蚪 蛙儿子
鱼 鱼儿
虾 虾米
蟹 螃蟹
贝 贝壳
蚌 河蚌
螺 田螺
蜗 蜗牛
龟 乌龟
蛇 长虫
鸟 鸟儿
鸡 公鸡
鸭 鸭子
鹅 白鹅
鸽 鸽子
雀 麻雀
鸦 乌鸦
鹰 老鹰
雁 大雁
燕 燕子
莺 黄莺
鹊 喜鹊
鸠 斑鸠
鸥 海鸥
鹤 仙鹤
鹭 白鹭
鹳 白鹳
鸵 鸵鸟
鹦 鹦鹉
鹉 鹦鹉
鸳 鸳鸯
鸯 鸳鸯
鸳 鸳鸟
鸯 鸯鸟
孔 孔雀
雀 孔雀
麒 麒麟
麟 麒麟
龙 神龙
凤 凤凰
凰 凤凰
